2026-07-27 15:42:38,081 | INFO | ============ PHASE 1/3: load meta-llama/Llama-3.2-3B [t+  0.1s] ============
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   0%|          | 1/254 [00:00<00:54,  4.64it/s]Loading weights:  10%|▉         | 25/254 [00:00<00:02, 98.47it/s]Loading weights:  16%|█▌        | 40/254 [00:00<00:02, 104.18it/s]Loading weights:  21%|██▏       | 54/254 [00:00<00:01, 113.77it/s]Loading weights:  28%|██▊       | 72/254 [00:00<00:01, 123.44it/s]Loading weights:  34%|███▍      | 86/254 [00:00<00:01, 121.82it/s]Loading weights:  39%|███▉      | 99/254 [00:00<00:01, 114.09it/s]Loading weights:  44%|████▍     | 112/254 [00:01<00:01, 116.28it/s]Loading weights:  50%|█████     | 127/254 [00:01<00:01, 121.73it/s]Loading weights:  55%|█████▌    | 140/254 [00:01<00:01, 110.54it/s]Loading weights:  60%|██████    | 153/254 [00:01<00:00, 115.03it/s]Loading weights:  65%|██████▌   | 166/254 [00:01<00:00, 111.34it/s]Loading weights:  72%|███████▏  | 183/254 [00:01<00:00, 123.00it/s]Loading weights:  78%|███████▊  | 199/254 [00:01<00:00, 128.84it/s]Loading weights:  84%|████████▍ | 213/254 [00:01<00:00, 120.64it/s]Loading weights:  89%|████████▉ | 226/254 [00:02<00:00, 115.02it/s]Loading weights:  94%|█████████▎| 238/254 [00:02<00:00, 112.70it/s]Loading weights:  98%|█████████▊| 250/254 [00:02<00:00, 113.82it/s]Loading weights: 100%|██████████| 254/254 [00:02<00:00, 113.97it/s]
2026-07-27 15:42:54,771 | INFO | ============ PHASE 2/3: sequential GPTQ pass, recording per-column compensation [t+ 16.8s] ============
[transformers] Token indices sequence length is longer than the specified maximum sequence length for this model (2435023 > 131072). Running this sequence through the model will result in indexing errors
[transformers] Ignoring clean_up_tokenization_spaces=True for BPE tokenizer TokenizersBackend. The clean_up_tokenization post-processing step is designed for WordPiece tokenizers and is destructive for BPE (it strips spaces before punctuation). Set clean_up_tokenization_spaces=False to suppress this warning, or set clean_up_tokenization_spaces_for_bpe_even_though_it_will_corrupt_output=True to force cleanup anyway.
2026-07-27 15:43:09,756 | INFO |   [t+ 31.8s] START capture first-block inputs for 128 calibration samples | gpu 0.73/5.98GB alloc, 0.74GB reserved | rss 6.91GB
2026-07-27 15:43:13,026 | INFO |     capture: 32/128 (25.0%)   3.3s elapsed, 9.8/s, eta   9.8s | gpu 0.73/5.98GB alloc, 0.75GB reserved | rss 7.35GB
2026-07-27 15:43:13,466 | INFO |     capture: 64/128 (50.0%)   3.7s elapsed, 17.3/s, eta   3.7s | gpu 0.73/5.98GB alloc, 0.75GB reserved | rss 7.73GB
2026-07-27 15:43:13,911 | INFO |     capture: 96/128 (75.0%)   4.2s elapsed, 23.1/s, eta   1.4s | gpu 0.73/5.98GB alloc, 0.75GB reserved | rss 8.10GB
2026-07-27 15:43:14,357 | INFO |     capture: 128/128 (100.0%)   4.6s elapsed, 27.8/s, eta   0.0s | gpu 0.73/5.98GB alloc, 0.75GB reserved | rss 8.50GB
2026-07-27 15:43:14,357 | INFO |   [t+ 36.4s] END   capture first-block inputs for 128 calibration samples in   4.6s | gpu 0.73/5.98GB alloc, 0.75GB reserved | rss 8.50GB
2026-07-27 15:43:14,357 | INFO | seq-gptq: captured 128 samples on CPU; processing 28 decoder blocks
2026-07-27 15:43:14,357 | WARNING | seq-gptq: max_blocks=8 -> processing only the first 8 of 28 decoder blocks (DIAGNOSTIC subset, not a full quantization)
2026-07-27 15:43:14,357 | INFO | seq-gptq: ===== block 1/28 ===== | gpu 0.73/5.98GB alloc, 0.75GB reserved | rss 8.50GB
2026-07-27 15:43:14,404 | INFO |   [t+ 36.4s] END   block 1: move to cuda in   0.0s | gpu 0.92/5.98GB alloc, 0.93GB reserved | rss 8.36GB
2026-07-27 15:43:14,404 | INFO |   [t+ 36.4s] START block 1: hessians over 128 samples | gpu 0.92/5.98GB alloc, 0.93GB reserved | rss 8.36GB
2026-07-27 15:43:15,231 | INFO |     hessian samples: 16/128 (12.5%)   0.8s elapsed, 19.4/s, eta   5.8s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:15,430 | INFO |     hessian samples: 32/128 (25.0%)   1.0s elapsed, 31.2/s, eta   3.1s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:15,626 | INFO |     hessian samples: 48/128 (37.5%)   1.2s elapsed, 39.3/s, eta   2.0s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:15,821 | INFO |     hessian samples: 64/128 (50.0%)   1.4s elapsed, 45.2/s, eta   1.4s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:16,017 | INFO |     hessian samples: 80/128 (62.5%)   1.6s elapsed, 49.6/s, eta   1.0s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:16,214 | INFO |     hessian samples: 96/128 (75.0%)   1.8s elapsed, 53.1/s, eta   0.6s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:16,410 | INFO |     hessian samples: 112/128 (87.5%)   2.0s elapsed, 55.9/s, eta   0.3s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:16,606 | INFO |     hessian samples: 128/128 (100.0%)   2.2s elapsed, 58.1/s, eta   0.0s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:16,607 | INFO |   [t+ 38.6s] END   block 1: hessians over 128 samples in   2.2s | gpu 1.42/5.98GB alloc, 1.99GB reserved | rss 8.80GB
2026-07-27 15:43:16,921 | INFO |   block 1: quantizing 7 linears: self_attn.q_proj, self_attn.k_proj, self_attn.v_proj, self_attn.o_proj, mlp.gate_proj, mlp.up_proj, mlp.down_proj
2026-07-27 15:43:17,583 | INFO |           gptq columns: 2048/3072 (66.7%)   0.4s elapsed, 5368.0/s, eta   0.2s | gpu 1.15/5.98GB alloc, 1.22GB reserved | rss 9.58GB
2026-07-27 15:43:17,687 | INFO |           gptq columns: 3072/3072 (100.0%)   0.5s elapsed, 6322.8/s, eta   0.0s | gpu 1.15/5.98GB alloc, 1.22GB reserved | rss 9.58GB
2026-07-27 15:43:18,166 | INFO |     layer self_attn.q_proj       (3072, 3072) done in 1.2s | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.71GB
2026-07-27 15:43:18,388 | INFO |           gptq columns: 2048/3072 (66.7%)   0.2s elapsed, 9970.4/s, eta   0.1s | gpu 1.07/5.98GB alloc, 1.16GB reserved | rss 9.71GB
2026-07-27 15:43:18,493 | INFO |           gptq columns: 3072/3072 (100.0%)   0.3s elapsed, 9887.9/s, eta   0.0s | gpu 1.07/5.98GB alloc, 1.17GB reserved | rss 9.71GB
2026-07-27 15:43:18,525 | INFO |     layer self_attn.k_proj       (1024, 3072) done in 0.4s | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.70GB
2026-07-27 15:43:18,740 | INFO |           gptq columns: 2048/3072 (66.7%)   0.2s elapsed, 10302.4/s, eta   0.1s | gpu 1.07/5.98GB alloc, 1.16GB reserved | rss 9.70GB
2026-07-27 15:43:18,840 | INFO |           gptq columns: 3072/3072 (100.0%)   0.3s elapsed, 10264.1/s, eta   0.0s | gpu 1.07/5.98GB alloc, 1.17GB reserved | rss 9.70GB
2026-07-27 15:43:18,866 | INFO |     layer self_attn.v_proj       (1024, 3072) done in 0.3s | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.67GB
2026-07-27 15:43:19,087 | INFO |           gptq columns: 2048/3072 (66.7%)   0.2s elapsed, 10024.6/s, eta   0.1s | gpu 1.15/5.98GB alloc, 1.22GB reserved | rss 9.67GB
2026-07-27 15:43:19,206 | INFO |           gptq columns: 3072/3072 (100.0%)   0.3s elapsed, 9515.7/s, eta   0.0s | gpu 1.15/5.98GB alloc, 1.22GB reserved | rss 9.67GB
2026-07-27 15:43:19,275 | INFO |     layer self_attn.o_proj       (3072, 3072) done in 0.4s | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.64GB
2026-07-27 15:43:19,498 | INFO |           gptq columns: 2048/3072 (66.7%)   0.2s elapsed, 9990.2/s, eta   0.1s | gpu 1.36/5.98GB alloc, 1.57GB reserved | rss 9.64GB
2026-07-27 15:43:19,601 | INFO |           gptq columns: 3072/3072 (100.0%)   0.3s elapsed, 9980.2/s, eta   0.0s | gpu 1.36/5.98GB alloc, 1.57GB reserved | rss 9.64GB
2026-07-27 15:43:19,781 | INFO |     layer mlp.gate_proj          (8192, 3072) done in 0.5s | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.65GB
2026-07-27 15:43:20,008 | INFO |           gptq columns: 2048/3072 (66.7%)   0.2s elapsed, 9850.6/s, eta   0.1s | gpu 1.36/5.98GB alloc, 1.57GB reserved | rss 9.65GB
2026-07-27 15:43:20,101 | INFO |           gptq columns: 3072/3072 (100.0%)   0.3s elapsed, 10196.4/s, eta   0.0s | gpu 1.36/5.98GB alloc, 1.57GB reserved | rss 9.65GB
2026-07-27 15:43:20,268 | INFO |     layer mlp.up_proj            (8192, 3072) done in 0.5s | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.66GB
2026-07-27 15:43:20,555 | INFO |           gptq columns: 2048/8192 (25.0%)   0.2s elapsed, 10090.8/s, eta   0.6s | gpu 1.79/5.98GB alloc, 2.44GB reserved | rss 9.66GB
2026-07-27 15:43:20,753 | INFO |           gptq columns: 4096/8192 (50.0%)   0.4s elapsed, 10211.6/s, eta   0.4s | gpu 1.79/5.98GB alloc, 2.44GB reserved | rss 9.66GB
2026-07-27 15:43:20,961 | INFO |           gptq columns: 6144/8192 (75.0%)   0.6s elapsed, 10089.1/s, eta   0.2s | gpu 1.79/5.98GB alloc, 2.44GB reserved | rss 9.66GB
2026-07-27 15:43:21,168 | INFO |           gptq columns: 8192/8192 (100.0%)   0.8s elapsed, 10038.2/s, eta   0.0s | gpu 1.79/5.98GB alloc, 2.44GB reserved | rss 9.66GB
2026-07-27 15:43:21,501 | INFO |     layer mlp.down_proj          (3072, 8192) done in 1.2s | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.71GB
2026-07-27 15:43:21,502 | INFO |   [t+ 43.5s] START block 1: replay 128 samples through quantized block | gpu 0.95/5.98GB alloc, 0.96GB reserved | rss 9.71GB
2026-07-27 15:43:21,860 | INFO |     replay samples: 32/128 (25.0%)   0.4s elapsed, 89.5/s, eta   1.1s | gpu 0.97/5.98GB alloc, 1.14GB reserved | rss 10.08GB
2026-07-27 15:43:22,254 | INFO |     replay samples: 64/128 (50.0%)   0.8s elapsed, 85.2/s, eta   0.8s | gpu 0.97/5.98GB alloc, 1.14GB reserved | rss 10.46GB
2026-07-27 15:43:22,652 | INFO |     replay samples: 96/128 (75.0%)   1.1s elapsed, 83.5/s, eta   0.4s | gpu 0.97/5.98GB alloc, 1.14GB reserved | rss 10.83GB
2026-07-27 15:43:23,046 | INFO |     replay samples: 128/128 (100.0%)   1.5s elapsed, 82.9/s, eta   0.0s | gpu 0.97/5.98GB alloc, 1.14GB reserved | rss 11.21GB
2026-07-27 15:43:23,046 | INFO |   [t+ 45.1s] END   block 1: replay 128 samples through quantized block in   1.5s | eta 20m16s for 27 more | gpu 0.97/5.98GB alloc, 1.14GB reserved | rss 11.21GB
2026-07-27 15:43:23,182 | INFO | seq-gptq: block 1/28 COMPLETE in 8.8s | gpu 0.78/5.98GB alloc, 0.79GB reserved | rss 11.38GB
2026-07-27 15:43:23,183 | INFO | seq-gptq: ===== block 2/28 ===== | gpu 0.78/5.98GB alloc, 0.79GB reserved | rss 11.38GB
2026-07-27 15:43:23,210 | INFO |   [t+ 45.2s] END   block 2: move to cuda in   0.0s | gpu 0.97/5.98GB alloc, 0.98GB reserved | rss 11.24GB
2026-07-27 15:43:23,210 | INFO |   [t+ 45.2s] START block 2: hessians over 128 samples | gpu 0.97/5.98GB alloc, 0.98GB reserved | rss 11.24GB
2026-07-27 15:43:23,417 | INFO |     hessian samples: 16/128 (12.5%)   0.2s elapsed, 77.6/s, eta   1.4s | gpu 1.43/5.98GB alloc, 2.01GB reserved | rss 11.24GB
2026-07-27 15:43:23,613 | INFO |     hessian samples: 32/128 (25.0%)   0.4s elapsed, 79.6/s, eta   1.2s | gpu 1.43/5.98GB alloc, 2.01GB reserved | rss 11.24GB
2026-07-27 15:43:23,809 | INFO |     hessian samples: 48/128 (37.5%)   0.6s elapsed, 80.2/s, eta   1.0s | gpu 1.43/5.98GB alloc, 2.01GB reserved | rss 11.24GB
2026-07-27 15:43:24,005 | INFO |     hessian samples: 64/128 (50.0%)   0.8s elapsed, 80.6/s, eta   0.8s | gpu 1.43/5.98GB alloc, 2.01GB reserved | rss 11.24GB
2026-07-27 15:43:24,202 | INFO |     hessian samples: 80/128 (62.5%)   1.0s elapsed, 80.7/s, eta   0.6s | gpu 1.43/5.98GB alloc, 2.01GB reserved | rss 11.24GB
