model,point,nominal_bits,task,metric,value,stderr,n_effective,n_original
meta-llama/Llama-3.2-1B,best_hqq,7.7,arc_challenge,acc_norm,0.32,0.03306761764450861,200,1172
meta-llama/Llama-3.2-1B,best_hqq,7.7,arc_easy,acc_norm,0.64,0.03402629784040012,200,2376
meta-llama/Llama-3.2-1B,best_hqq,7.7,hellaswag,acc_norm,0.575,0.03504304603451139,200,10042
meta-llama/Llama-3.2-1B,best_hqq,7.7,lambada_openai,acc,0.61,0.03457567623250011,200,5153
meta-llama/Llama-3.2-1B,best_hqq,7.7,piqa,acc_norm,0.75,0.030695456590127176,200,1838
meta-llama/Llama-3.2-1B,best_hqq,7.7,winogrande,acc,0.635,0.034127679271557736,200,1267
meta-llama/Llama-3.2-1B,fp16,16.0,arc_challenge,acc_norm,0.315,0.032928657464464904,200,1172
meta-llama/Llama-3.2-1B,fp16,16.0,arc_easy,acc_norm,0.615,0.03449382728261703,200,2376
meta-llama/Llama-3.2-1B,fp16,16.0,hellaswag,acc_norm,0.58,0.03498743493048719,200,10042
meta-llama/Llama-3.2-1B,fp16,16.0,lambada_openai,acc,0.6,0.03472794481039396,200,5153
meta-llama/Llama-3.2-1B,fp16,16.0,piqa,acc_norm,0.765,0.03005647949775547,200,1838
meta-llama/Llama-3.2-1B,fp16,16.0,winogrande,acc,0.605,0.034653706828922715,200,1267
meta-llama/Llama-3.2-1B,gptq4,4.0,arc_challenge,acc_norm,0.3583617747440273,0.014012883334859918,1172,1172
meta-llama/Llama-3.2-1B,gptq4,4.0,arc_easy,acc_norm,0.5955387205387206,0.010070746648278901,2376,2376
meta-llama/Llama-3.2-1B,gptq4,4.0,hellaswag,acc_norm,0.6212905795658236,0.004840742206717878,10042,10042
meta-llama/Llama-3.2-1B,gptq4,4.0,lambada_openai,acc,0.5899476033378614,0.006852333168154784,5153,5153
meta-llama/Llama-3.2-1B,gptq4,4.0,piqa,acc_norm,0.7426550598476604,0.010199921064792403,1838,1838
meta-llama/Llama-3.2-1B,gptq4,4.0,winogrande,acc,0.6085240726124704,0.01371748707129077,1267,1267
meta-llama/Llama-3.2-1B,greedy_gptq,4.82,arc_challenge,acc_norm,0.3532423208191126,0.013967822714840067,1172,1172
meta-llama/Llama-3.2-1B,greedy_gptq,4.82,arc_easy,acc_norm,0.5934343434343434,0.01007905641922357,2376,2376
meta-llama/Llama-3.2-1B,greedy_gptq,4.82,hellaswag,acc_norm,0.620991834295957,0.004841486716855584,,
meta-llama/Llama-3.2-1B,greedy_gptq,4.82,lambada_openai,acc,0.5979041335144576,0.0068311316483014245,5153,5153
meta-llama/Llama-3.2-1B,greedy_gptq,4.82,piqa,acc_norm,0.7372143634385201,0.01026935406814087,1838,1838
meta-llama/Llama-3.2-1B,greedy_gptq,4.82,winogrande,acc,0.6108918705603789,0.01370252087148592,1267,1267
meta-llama/Llama-3.2-1B,hqq4,4.0,arc_challenge,acc_norm,0.35,0.0338114785302567,200,1172
meta-llama/Llama-3.2-1B,hqq4,4.0,arc_easy,acc_norm,0.59,0.034865138597849225,200,2376
meta-llama/Llama-3.2-1B,hqq4,4.0,hellaswag,acc_norm,0.545,0.03530021993753284,200,10042
meta-llama/Llama-3.2-1B,hqq4,4.0,lambada_openai,acc,0.565,0.03514328173714403,200,5153
meta-llama/Llama-3.2-1B,hqq4,4.0,piqa,acc_norm,0.755,0.03048807329211419,200,1838
meta-llama/Llama-3.2-1B,hqq4,4.0,winogrande,acc,0.625,0.03431856376795913,200,1267
