model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
meta-llama/Llama-3.2-1B,GPTQ-4 g128,4.0,4.0,,10.4306,,,1,baseline,declared_external
meta-llama/Llama-3.2-1B,AWQ-4 g128,4.0,4.0,,11.2632,,,1,baseline,declared_external
meta-llama/Llama-3.2-1B,RTN-4 g128,4.0,4.0,,11.7112,,,1,baseline,declared_external
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.0),4.25,4.0,10.149,10.5572,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(hqq-4b k=0.0),4.5,4.0,10.346,11.0721,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,HQQ-4 uniform,4.5,4.0,10.346,11.0721,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.02),4.57,4.24,10.401,10.4229,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(gptq_llmc-4b k=0.02),4.57,4.24,10.401,10.4344,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(gptq_llmc-4b k=0.02),4.57,4.24,10.401,10.5574,10.158,10.9569,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(gptq_llmc-4b k=0.02),4.57,4.24,10.401,10.7112,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(gptq_llmc-4b k=0.02),4.57,4.24,10.401,10.9296,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(gptq_llmc-4b k=0.02),4.57,4.24,10.401,11.2751,,,1,sweep,recomputed_from_storage_breakdown
