model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
meta-llama/Llama-3.2-1B,AWQ-4 g128,4.0,4.0,,11.2632,,,1,baseline,declared_external
meta-llama/Llama-3.2-1B,RTN-4 g128,4.0,4.0,,11.7112,,,1,baseline,declared_external
meta-llama/Llama-3.2-1B,GPTQ-4 g128,4.293,4.0,6.782,10.4047,,,1,baseline,recomputed_from_safetensors_metadata
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.0),4.5,4.0,7.901,10.7793,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(hqq-4b k=0.0),4.5,4.0,7.901,11.1872,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,HQQ-4 uniform,4.5,4.0,7.901,11.1872,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:tier_alloc(hqq-4b [budget=0.25]),4.757,4.066,8.158,10.6307,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.02),4.82,4.24,8.222,10.3907,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(gptq_llmc-4b k=0.02),4.82,4.24,8.222,10.3998,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(hqq-4b k=0.02),4.82,4.24,8.222,10.4954,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(hqq-4b k=0.02),4.82,4.24,8.222,10.5057,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(hqq-4b k=0.02),4.82,4.24,8.222,10.5334,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-4b k=0.02),4.82,4.24,8.222,10.5377,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(hqq-4b k=0.02),4.82,4.24,8.222,10.6136,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(hqq-4b k=0.02),4.82,4.24,8.222,10.6209,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(gptq_llmc-4b k=0.02),4.82,4.24,8.222,10.6803,10.4089,10.9517,3,sweep,recomputed_from_storage_breakdown
